Date : 2026-03-07 16:41:13
Directory : c:\dev\tickets-new
Total : 101 files,  36086 codes, 2964 comments, 6109 blanks, all 45159 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\dev\tickets-new\assets\js\seat-config.js                                              | JavaScript |        257 |         29 |         41 |        327 |
| c:\dev\tickets-new\assets\js\seats-main.js                                               | JavaScript |      2,100 |        398 |        424 |      2,922 |
| c:\dev\tickets-new\assets\js\sidebar.js                                                  | JavaScript |        318 |         21 |         37 |        376 |
| c:\dev\tickets-new\assets\js\supabase-api.js                                             | JavaScript |      1,121 |        175 |        215 |      1,511 |
| c:\dev\tickets-new\assets\js\supabase-client.js                                          | JavaScript |        622 |         38 |        104 |        764 |
| c:\dev\tickets-new\assets\js\supabase-settings.js                                        | JavaScript |         67 |         14 |         15 |         96 |
| c:\dev\tickets-new\assets\js\system-diagnostics.js                                       | JavaScript |        334 |         42 |         89 |        465 |
| c:\dev\tickets-new\assets\js\system-lock.js                                              | JavaScript |         87 |         12 |         10 |        109 |
| c:\dev\tickets-new\assets\js\timeslot-main.js                                            | JavaScript |        147 |         24 |         40 |        211 |
| c:\dev\tickets-new\assets\js\timeslot-schedules.js                                       | JavaScript |         84 |          2 |          5 |         91 |
| c:\dev\tickets-new\assets\js\ui-optimizer.js                                             | JavaScript |        270 |         35 |         65 |        370 |
| c:\dev\tickets-new\assets\js\walkin-main.js                                              | JavaScript |        386 |         47 |         61 |        494 |
| c:\dev\tickets-new\browserconfig.xml                                                     | XML        |          9 |          0 |          1 |         10 |
| c:\dev\tickets-new\docs\CompleteMigrationSummary.md                                      | Markdown   |        110 |          0 |         28 |        138 |
| c:\dev\tickets-new\docs\IMPLEMENTATION_README.md                                         | Markdown   |        181 |          0 |         76 |        257 |
| c:\dev\tickets-new\docs\SUPABASE_MIGRATION_README.md                                     | Markdown   |        150 |          0 |         49 |        199 |
| c:\dev\tickets-new\gas\AdminAPI.gs                                                       | JavaScript |        347 |         84 |         95 |        526 |
| c:\dev\tickets-new\gas\BackupManager.gs                                                  | JavaScript |        246 |         44 |         46 |        336 |
| c:\dev\tickets-new\gas\CodeWithSupabase.gs                                               | JavaScript |      1,135 |        155 |        187 |      1,477 |
| c:\dev\tickets-new\gas\MasterDataAPI.gs                                                  | JavaScript |        231 |         41 |         45 |        317 |
| c:\dev\tickets-new\gas\Migration.gs                                                      | JavaScript |         70 |          6 |         10 |         86 |
| c:\dev\tickets-new\gas\MissingFunctions.gs                                               | JavaScript |      1,038 |         74 |        131 |      1,243 |
| c:\dev\tickets-new\gas\ReservationAPI.gs                                                 | JavaScript |        305 |         55 |         74 |        434 |
| c:\dev\tickets-new\gas\SupabaseIntegration.gs                                            | JavaScript |        231 |         31 |         41 |        303 |
| c:\dev\tickets-new\gas\SupabaseSettings.gs                                               | JavaScript |        206 |         13 |         40 |        259 |
| c:\dev\tickets-new\gas\appsscript.json                                                   | JSON       |         17 |          0 |          0 |         17 |
| c:\dev\tickets-new\gas\system-setting.gs                                                 | JavaScript |         58 |          5 |          9 |         72 |
| c:\dev\tickets-new\index.html                                                            | HTML       |        339 |          0 |         36 |        375 |
| c:\dev\tickets-new\manifest.json                                                         | JSON       |         86 |          0 |          0 |         86 |
| c:\dev\tickets-new\pages\admin-login.html                                                | HTML       |        175 |          0 |         26 |        201 |
| c:\dev\tickets-new\pages\admin-scan.html                                                 | HTML       |        136 |          0 |         19 |        155 |
| c:\dev\tickets-new\pages\admin.html                                                      | HTML       |      1,071 |          0 |         97 |      1,168 |
| c:\dev\tickets-new\pages\monitoring-dashboard.html                                       | HTML       |      2,830 |          0 |        423 |      3,253 |
| c:\dev\tickets-new\pages\reservation-status.html                                         | HTML       |         97 |          0 |         14 |        111 |
| c:\dev\tickets-new\pages\reservation.html                                                | HTML       |        205 |          0 |         29 |        234 |
| c:\dev\tickets-new\pages\seats.html                                                      | HTML       |        382 |          0 |         37 |        419 |
| c:\dev\tickets-new\pages\timeslot.html                                                   | HTML       |        316 |          0 |         34 |        350 |
| c:\dev\tickets-new\pages\walkin.html                                                     | HTML       |        363 |          0 |         37 |        400 |
| c:\dev\tickets-new\supabase\database\02_create_settings_table.sql                        | MS SQL     |         12 |          9 |          5 |         26 |
| c:\dev\tickets-new\supabase\database\03_fix_settings_policy.sql                          | MS SQL     |          9 |          6 |          4 |         19 |
| c:\dev\tickets-new\supabase\database\04_get_server_time.sql                              | MS SQL     |          6 |          2 |          2 |         10 |
| c:\dev\tickets-new\supabase\database\04_get_server_time_jst.sql                          | MS SQL     |          6 |          2 |          2 |         10 |
| c:\dev\tickets-new\supabase\database\05_update_rpc_admin_booking.sql                     | MS SQL     |         47 |         11 |          7 |         65 |
| c:\dev\tickets-new\supabase\database\06_secure_rpc.sql                                   | MS SQL     |         37 |         15 |          7 |         59 |
| c:\dev\tickets-new\supabase\database\07_fix_ambiguous_rpc.sql                            | MS SQL     |          1 |          9 |          3 |         13 |
| c:\dev\tickets-new\supabase\database\07_secure_settings_rls.sql                          | MS SQL     |          2 |          9 |          5 |         16 |
| c:\dev\tickets-new\supabase\database\08_create_reservation_rpc.sql                       | MS SQL     |         73 |          9 |         10 |         92 |
| c:\dev\tickets-new\supabase\database\08_optimize_indices.sql                             | MS SQL     |          2 |          5 |          3 |         10 |
| c:\dev\tickets-new\supabase\database\09_add_bypass_token.sql                             | MS SQL     |          8 |          1 |          1 |         10 |
| c:\dev\tickets-new\supabase\database\11_create_booking_events.sql                        | MS SQL     |         63 |         22 |         18 |        103 |
| c:\dev\tickets-new\supabase\database\12_secure_settings.sql                              | MS SQL     |         11 |         12 |          5 |         28 |
| c:\dev\tickets-new\supabase\database\13_cleanup_schema.sql                               | MS SQL     |          4 |          7 |          4 |         15 |
| c:\dev\tickets-new\supabase\database\nazuna-kunieda.sql                                  | MS SQL     |        410 |         57 |         60 |        527 |
| c:\dev\tickets-new\supabase\database\refactor-master-data.sql                            | MS SQL     |         51 |         14 |         10 |         75 |
| c:\dev\tickets-new\supabase\database\reservation-feature.sql                             | MS SQL     |        305 |         64 |         55 |        424 |
| c:\dev\tickets-new\supabase\database\supabase-schema.sql                                 | MS SQL     |        410 |         57 |         60 |        527 |
| c:\dev\tickets-new\supabase\migrations\20260228000000_delete_s14_s25_seats.sql           | MS SQL     |         34 |          8 |          5 |         47 |
| c:\dev\tickets-new\supabase\migrations\20260228004340_add_realtime_publication.sql       | MS SQL     |          7 |          0 |          2 |          9 |
| c:\dev\tickets-new\supabase\migrations\20260228073917_fix_reservation_race_condition.sql | MS SQL     |         73 |          9 |         10 |         92 |
| c:\dev\tickets-new\supabase\migrations\20260301000000_cleanup_orphaned_seats.sql         | MS SQL     |          7 |         11 |          7 |         25 |
| c:\dev\tickets-new\sw.js                                                                 | JavaScript |        178 |         27 |         18 |        223 |
| Total                                                                                    |            |     36,086 |      2,964 |      6,109 |     45,159 |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
